Latitude,Longitude,Hour
29.813142,-95.309789,0
29.483751,-94.924777,15
29.791029,-95.450656,18
29.791029,-95.450656,0
29.791029,-95.450656,18
29.800958,-95.405491,19
29.800841,-95.415812,7
29.677357,-95.353895,1
29.677357,-95.353895,21
29.677357,-95.353895,9
29.677357,-95.353895,20
29.802959,-95.407741,12
29.802959,-95.407741,20
29.803034,-95.403325,21
29.80299,-95.405573,14
29.803034,-95.403325,7
29.802739,-95.412236,11
29.802959,-95.407741,21
29.802739,-95.412236,10
29.803034,-95.403325,21
29.802931,-95.409845,22
29.813142,-95.309789,16
29.813142,-95.309789,6
29.804082,-95.401134,20
29.804082,-95.401134,13
29.804015,-95.405596,12
29.804082,-95.401134,7
29.803878,-95.417275,10
29.803878,-95.417275,8
29.803877,-95.41906,21
29.803878,-95.417275,19
29.806038,-95.405642,21
29.806111,-95.401344,8
29.807676,-95.386244,11
29.807376,-95.386178,22
29.807376,-95.386178,10
29.807696,-95.384508,10
29.807376,-95.386178,16
29.807376,-95.386178,10
29.808044,-95.38711,10
29.808044,-95.38711,9
29.808044,-95.38711,22
29.808044,-95.38711,6
29.808358,-95.38635,22
29.80833,-95.385342,10
29.809061,-95.40787,13
29.809023,-95.403034,11
29.808988,-95.412333,11
29.80885,-95.425408,13
29.80885,-95.425408,15
29.810831,-95.387431,13
29.812054,-95.383973,7
29.811662,-95.387442,18
29.812502,-95.386046,22
29.812726,-95.381091,17
29.812059,-95.412045,11
29.812114,-95.407922,11
29.812114,-95.407922,12
29.815968,-95.397909,14
29.81723,-95.384292,10
29.81723,-95.384292,21
29.81723,-95.384292,20
29.81723,-95.384292,17
29.81723,-95.384292,9
29.81723,-95.384292,18
29.81723,-95.384292,9
29.81723,-95.384292,15
29.81723,-95.384292,11
29.81723,-95.384292,22
29.81723,-95.384292,7
29.81723,-95.384292,11
29.818682,-95.477152,14
29.81723,-95.384292,8
29.81723,-95.384292,8
29.81723,-95.384292,15
29.81723,-95.384292,11
29.81723,-95.384292,8
29.81723,-95.384292,8
29.81723,-95.384292,18
29.81723,-95.384292,6
29.81723,-95.384292,15
29.81723,-95.384292,13
29.817475,-95.379048,23
29.821537,-95.394447,22
29.820299,-95.382078,16
29.823657,-95.39514,8
29.822919,-95.389719,13
29.824357,-95.393568,15
29.824743,-95.39477,8
29.824743,-95.39477,18
29.824743,-95.39477,2
29.824743,-95.39477,16
29.824743,-95.39477,10
29.824743,-95.39477,13
29.824743,-95.39477,19
29.824743,-95.39477,23
29.824743,-95.39477,19
29.824743,-95.39477,16
29.824743,-95.39477,13
29.824743,-95.39477,13
29.824743,-95.39477,20
29.824743,-95.39477,16
29.824743,-95.39477,10
29.736837,-95.310531,10
29.740243,-95.309559,10
29.738373,-95.303629,6
29.713377,-95.591696,9
29.740074,-95.297326,14
29.738041,-95.290097,10
29.738041,-95.290097,7
29.738041,-95.290097,13
29.813142,-95.309789,1
29.712239,-95.591105,16
29.886385,-95.109736,17
29.719147,-95.264139,13
29.69751,-95.439726,15
29.62443,-95.47014,11
29.676074,-95.43388,8
29.788512,-95.424947,7
29.642465,-95.340041,14
29.642125,-95.36814,12
29.643449,-95.322519,13
29.94459,-95.358797,0
29.678543,-95.566092,23
29.805918,-95.382645,21
29.80591,-95.384223,23
29.935104,-95.313417,8
29.794517,-95.473406,13
29.802884,-95.472122,4
29.656745,-95.580045,16
29.965284,-95.373098,3
29.81368,-95.382645,2
29.81368,-95.382645,11
29.81368,-95.382645,5
29.81346,-95.382627,21
29.81346,-95.382627,18
29.830844,-95.384564,3
29.828611,-95.384423,2
29.828611,-95.384423,9
29.828611,-95.384423,23
29.834611,-95.384566,16
29.813142,-95.309789,17
29.834611,-95.384566,18
29.834611,-95.384566,19
